subgroup,hr,low,high
age_lt65,0.94,0.77,1.15
age_geq65,0.84,0.66,1.07
sex_male,0.91,0.77,1.07
sex_female,0.84,0.56,1.26
region_asia,0.86,0.72,1.02
region_row,1.08,0.82,1.42
ecog_0,0.88,0.73,1.06
ecog_1,0.97,0.76,1.25
bclc_nonC,0.91,0.65,1.28
bclc_C,0.92,0.77,1.08
afp_lte200,0.91,0.74,1.12
afp_gt200,0.78,0.63,0.98
mviorehs_n,1.05,0.79,1.40
mviorehs_y,0.87,0.73,1.04
hepatitis_b,0.83,0.68,1.02
hepatitis_c,0.91,0.66,1.26
etiology_alcohol,1.03,0.47,2.28
weight_lt60,0.85,0.65,1.11
weight_geq600.95,0.79,1.14
