subgroup,hr,low,high
age_lte65,1.08,0.78,1.49
age_gt65,0.89,0.65,1.23
sex_male,1.04,0.82,1.31
sex_female,0.62,0.29,1.31
ecog_0,1.17,0.87,1.56
ecog_1,0.75,0.52,1.07
cirrhosis_y,1.12,0.52,2.40
cirrhosis_n,0.98,0.77,1.24
bclc_nonC,0.89,0.59,1.33
bclc_C,1.06,0.81,1.39
cp_a,1.01,0.79,1.29
cp_b,0.88,0.48,1.62
involvement_uni,0.99,0.77,1.28
involvement_bi,0.95,0.57,1.58
type_nodular,0.97,0.71,1.34
type_infiltrative,1.04,0.74,1.45
number_single,1.02,0.73,1.43
number_multiple,0.96,0.71,1.30
burden_lte25,0.97,0.74,1.28
burden_gt25,1.12,0.75,1.67
mvi_n,0.95,0.65,1.37
mvi_y,1.02,0.77,1.36
pvi_main,1.18,0.70,1.98
pvi_other,1.06,0.74,1.52
occlusion_complete,2.44,1.01,5.88
occlusion_incomplete,0.78,0.39,1.55
tacefailure_n,1.13,0.83,1.54
tacefailure_y,0.86,0.62,1.20
afp_lte400,1.07,0.80,1.43
afp_gt400,0.79,0.53,1.18
